name,lat,lon,ele
Cp 2025,69.874743036925793,-47.01098696,2129
T3 2025,69.778998987749219,-47.68592496,1925
T4 2025,69.818734992295504,-47.45876801,2004
T5 2025,69.847128018736839,-47.27853396,2058
Up10 2025,69.910620013251901,-46.77046498,2171
Up18 2025,69.938465030863881,-46.56897602,2240
